;longmin;latmin;longmax;latmax;wkt;
Adana;35.21;36.95;35.46;37.06;POLYGON ((35.21 ,36.95, 35.46 ,36.95,35.46,37.06, 35.21, 37.06,35.21 ,36.95));2009m3
Ahmedabad;72.36;22.84;72.82;23.18;POLYGON ((72.36 22.84, 72.82 22.84, 72.82 23.18, 72.36 23.18, 72.36 22.84));2019m3
Algiers;2.86;36.68;3.10;36.81;POLYGON ((2.86 36.68, 3.10 36.68, 3.10 36.81, 2.86 36.81, 2.86 36.68));2011m11
Almaty;76.64;43.12;77.18;43.50;POLYGON ((76.64 43.12, 77.18 43.12, 77.18 43.50, 76.64 43.50, 76.64 43.12));2011m12
Bangalore;77.33;12.77;77.81;13.23;POLYGON ((77.33 12.77, 77.81 12.77, 77.81 13.23, 77.33 13.23, 77.33 12.77));2011m10
Brescia;10.15;45.50;10.28;45.57;POLYGON ((10.15 45.50, 10.28 45.50, 10.28 45.57, 10.15 45.57, 10.15 45.50));
Bursa;29.01;40.17;29.15;40.23;POLYGON ((29.01 40.17, 29.15 40.17, 29.15 40.23, 29.01 40.23, 29.01 40.17));
Changsha;112.72;28.05;113.24;28.37;POLYGON ((112.72 28.05, 113.24 28.05, 113.24 28.37, 112.72 28.37, 112.72 28.05));2014m4
Changzhou;119.70;31.63;120.20;31.94;POLYGON ((119.70 31.63, 120.20 31.63, 120.20 31.94, 119.70 31.94, 119.70 31.63));2019m9
Chengdu;103.65;30.15;104.73;31.11;POLYGON ((103.65 30.15, 104.73 30.15, 104.73 31.11, 103.65 31.11, 103.65 30.15));2010m9
Chennai;80.11;12.93;80.34;13.25;POLYGON ((80.11 12.93, 80.34 12.93, 80.34 13.25, 80.11 13.25, 80.11 12.93));2021m2
Chongqing;105.72;29.06;107.37;30.36;POLYGON ((105.72 29.06, 107.37 29.06, 107.37 30.36, 105.72 30.36, 105.72 29.06));2005m6
Copenhagen;12.45;55.61;12.67;55.73;POLYGON ((12.45 55.61, 12.67 55.61, 12.67 55.73, 12.45 55.73, 12.45 55.61));
Daejon;127.28;36.26;127.52;36.43;POLYGON ((127.28 36.26, 127.52 36.26, 127.52 36.43, 127.28 36.43, 127.28 36.26));2006m3
Dalian;121.56;38.88;121.67;38.94;POLYGON ((121.56 38.88, 121.67 38.88, 121.67 38.94, 121.56 38.94, 121.56 38.88));2003m5
Delhi;77.05;28.48;77.35;28.80;POLYGON ((77.05 28.48, 77.35 28.48, 77.35 28.80, 77.05 28.80, 77.05 28.48));2002m12
Doha;51.37;25.19;51.60;25.42;POLYGON ((51.37 25.19, 51.60 25.19, 51.60 25.42, 51.37 25.42, 51.37 25.19));2019m5
Dongguan;113.55;22.89;114.01;23.17;POLYGON ((113.55 22.89, 114.01 22.89, 114.01 23.17, 113.55 23.17, 113.55 22.89));2016m5
Dubai;54.88;24.49;56.18;25.67;POLYGON ((54.88 24.49, 56.18 24.49, 56.18 25.67, 54.88 25.67, 54.88 24.49));2009m9
Fuzhou;118.99;25.87;119.61;26.31;POLYGON ((118.99 25.87, 119.61 25.87, 119.61 26.31, 118.99 26.31, 118.99 25.87));2016m5
Guiyang;106.38;26.37;106.94;26.81;POLYGON ((106.38 26.37, 106.94 26.37, 106.94 26.81, 106.38 26.81, 106.38 26.37));2017m12
Gwangju;126.77;35.11;126.95;35.25;POLYGON ((126.77 35.11, 126.95 35.11, 126.95 35.25, 126.77 35.25, 126.77 35.11));2004m4
Hangzhou;119.78;29.96;120.58;30.57;POLYGON ((119.78 29.96, 120.58 29.96, 120.58 30.57, 119.78 30.57, 119.78 29.96));2012m11
Hanoi;105.70;20.92;105.98;21.17;POLYGON ((105.70 20.92, 105.98 20.92, 105.98 21.17, 105.70 21.17, 105.70 20.92));2021m11
Harbin;125.78;45.54;127.29;46.20;POLYGON ((125.78 45.54, 127.29 45.54, 127.29 46.20, 125.78 46.20, 125.78 45.54));2013m9
Hefei;116.96;31.68;117.59;32.05;POLYGON ((116.96 31.68, 117.59 31.68, 117.59 32.05, 116.96 32.05, 116.96 31.68));2016m12
Hohhot;111.51;40.70;111.87;40.90;POLYGON ((111.51 40.70, 111.87 40.70, 111.87 40.90, 111.51 40.90, 111.51 40.70));2019m12
Hyderabad;78.44;17.34;78.52;17.41;POLYGON ((78.44 17.34, 78.52 17.34, 78.52 17.41, 78.44 17.41, 78.44 17.34));2017m11
Isfahan;51.55;32.59;51.79;32.74;POLYGON ((51.55 32.59, 51.79 32.59, 51.79 32.74, 51.55 32.74, 51.55 32.59));2015m10
Jaipur;75.55;26.72;76.09;27.15;POLYGON ((75.55 26.72, 76.09 26.72, 76.09 27.15, 75.55 27.15, 75.55 26.72));2015m6
Jinan;116.72;36.53;117.43;36.84;POLYGON ((116.72 36.53, 117.43 36.53, 117.43 36.84, 116.72 36.84, 116.72 36.53));2019m4
Kaohsiung;120.22;22.49;120.48;22.91;POLYGON ((120.22 22.49, 120.48 22.49, 120.48 22.91, 120.22 22.91, 120.22 22.49));2008m3
Kazan;49.03;55.72;49.29;55.87;POLYGON ((49.03 55.72, 49.29 55.72, 49.29 55.87, 49.03 55.87, 49.03 55.72));2005m8
Kochi;133.45;33.50;133.64;33.63;POLYGON ((133.45 33.50, 133.64 33.50, 133.64 33.63, 133.45 33.63, 133.45 33.50));2017m6
Kunming;102.19;24.43;103.56;25.75;POLYGON ((102.19 24.43, 103.56 24.43, 103.56 25.75, 102.19 25.75, 102.19 24.43));2012m6
Lahore;74.22;31.37;74.45;31.67;POLYGON ((74.22 31.37, 74.45 31.37, 74.45 31.67, 74.22 31.67, 74.22 31.37));2020m10
Lanzhou;103.32;35.84;104.13;36.32;POLYGON ((103.32 35.84, 104.13 35.84, 104.13 36.32, 103.32 36.32, 103.32 35.84));2019m6
Lausanne;6.58;46.50;6.70;46.56;POLYGON ((6.58 46.50, 6.70 46.50, 6.70 46.56, 6.58 46.56, 6.58 46.50));
Lima;-77.11;-12.16;-76.95;-12.01;POLYGON ((-77.11 -12.16, -76.95 -12.16, -76.95 -12.01, -77.11 -12.01, -77.11 -12.16));2012m4
Lucknow;80.74;26.70;81.09;27.00;POLYGON ((80.74 26.70, 81.09 26.70, 81.09 27.00, 80.74 27.00, 80.74 26.70));2017m1
Macau;113.44;22.10;113.60;22.32;POLYGON ((113.44 22.10, 113.60 22.10, 113.60 22.32, 113.44 22.32, 113.44 22.10));2019m12
Maracaibo;-71.71;10.56;-71.59;10.73;POLYGON ((-71.71 10.56, -71.59 10.56, -71.59 10.73, -71.71 10.73, -71.71 10.56));2006m11
Mashhad;59.42;36.19;59.76;36.47;POLYGON ((59.42 36.19, 59.76 36.19, 59.76 36.47, 59.42 36.47, 59.42 36.19));2011m4
Mumbai;72.76;18.93;72.97;19.28;POLYGON ((72.76 18.93, 72.97 18.93, 72.97 19.28, 72.76 19.28, 72.76 18.93));2014m6
Nagpur;79.00;21.06;79.19;21.20;POLYGON ((79.00 21.06, 79.19 21.06, 79.19 21.20, 79.00 21.20, 79.00 21.06));2019m4
Naha;127.65;26.18;127.74;26.25;POLYGON ((127.65 26.18, 127.74 26.18, 127.74 26.25, 127.65 26.25, 127.65 26.18));2003m8
Nanchang;115.59;28.23;116.27;28.90;POLYGON ((115.59 28.23, 116.27 28.23, 116.27 28.90, 115.59 28.90, 115.59 28.23));2015m12
Nanjing;118.37;31.54;119.24;32.62;POLYGON ((118.37 31.54, 119.24 31.54, 119.24 32.62, 118.37 32.62, 118.37 31.54));2005m8
Nanning;108.14;22.69;108.60;23.09;POLYGON ((108.14 22.69, 108.60 22.69, 108.60 23.09, 108.14 23.09, 108.14 22.69));2016m6
Ningbo;121.31;29.70;121.89;30.12;POLYGON ((121.31 29.70, 121.89 29.70, 121.89 30.12, 121.31 30.12, 121.31 29.70));2014m5
Noida;77.26;28.55;77.37;28.67;POLYGON ((77.26 28.55, 77.37 28.55, 77.37 28.67, 77.26 28.67, 77.26 28.55));2019m1
Palma;2.54;39.54;2.83;39.66;POLYGON ((2.54 39.54, 2.83 39.54, 2.83 39.66, 2.54 39.66, 2.54 39.54));
Panama;-85.72;30.14;-85.58;30.24;POLYGON ((-85.72 30.14, -85.58 30.14, -85.58 30.24, -85.72 30.24, -85.72 30.14));2014m4
Porto;-8.69;41.14;-8.55;41.19;POLYGON ((-8.69 41.14, -8.55 41.14, -8.55 41.19, -8.69 41.19, -8.69 41.14));
Qingdao;119.48;35.65;120.87;36.76;POLYGON ((119.48 35.65, 120.87 35.65, 120.87 36.76, 119.48 36.76, 119.48 35.65));2015m12
Rennes;-1.72;48.08;-1.61;48.15;POLYGON ((-1.72 48.08, -1.61 48.08, -1.61 48.15, -1.72 48.15, -1.72 48.08));
Salvador;-38.53;-13.02;-38.42;-12.90;POLYGON ((-38.53 -13.02, -38.42 -13.02, -38.42 -12.90, -38.53 -12.90, -38.53 -13.02));2014m6
San.Juan.Puerto.Rico;-66.13;18.35;-66.00;18.47;POLYGON ((-66.13 18.35, -66.00 18.35, -66.00 18.47, -66.13 18.47, -66.13 18.35));2005m4
Santo.Domingo;127.28;36.26;127.52;36.43;POLYGON ((127.28 36.26, 127.52 36.26, 127.52 36.43, 127.28 36.43, 127.28 36.26));2009m1
Seattle;-122.41;47.51;-122.26;47.73;POLYGON ((-122.41 47.51, -122.26 47.51, -122.26 47.73, -122.41 47.73, -122.41 47.51));2019m7
Seville;-6.03;37.31;-5.87;37.45;POLYGON ((-6.03 37.31, -5.87 37.31, -5.87 37.45, -6.03 37.45, -6.03 37.31));
Shenyang;122.47;41.09;124.29;42.50;POLYGON ((122.47 41.09, 124.29 41.09, 124.29 42.50, 122.47 42.50, 122.47 41.09));2010m9
Shenzhen;113.89;22.52;114.21;22.75;POLYGON ((113.89 22.52, 114.21 22.52, 114.21 22.75, 113.89 22.75, 113.89 22.52));2004m12
Shijiazhuang;114.16;37.92;114.80;38.23;POLYGON ((114.16 37.92, 114.80 37.92, 114.80 38.23, 114.16 38.23, 114.16 37.92));2017m6
Shiraz;52.42;29.54;52.66;29.75;POLYGON ((52.42 29.54, 52.66 29.54, 52.66 29.75, 52.42 29.75, 52.42 29.54));2014m10
Suzhou;120.31;31.24;121.20;31.74;POLYGON ((120.31 31.24, 121.20 31.24, 121.20 31.74, 120.31 31.74, 120.31 31.24));2012m4
Sydney;150.74;-34.13;151.40;-33.54;POLYGON ((150.74 -34.13, 151.40 -34.13, 151.40 -33.54, 150.74 -33.54, 150.74 -34.13));2019m5
Tabriz;46.19;38.02;46.37;38.13;POLYGON ((46.19 38.02, 46.37 38.02, 46.37 38.13, 46.19 38.13, 46.19 38.02));2015m8
Taiyuan;112.43;37.67;112.74;38.06;POLYGON ((112.43 37.67, 112.74 37.67, 112.74 38.06, 112.43 38.06, 112.43 37.67));2020m12
Taoyuan;121.03;24.87;121.46;25.11;POLYGON ((121.03 24.87, 121.46 24.87, 121.46 25.11, 121.03 25.11, 121.03 24.87));2017m3
Tianjin;116.85;38.90;117.72;39.38;POLYGON ((116.85 38.90, 117.72 38.90, 117.72 39.38, 116.85 39.38, 116.85 38.90));2004m3
Turin;7.54;45.00;7.76;45.16;POLYGON ((7.54 45.00, 7.76 45.00, 7.76 45.16, 7.54 45.16, 7.54 45.00));
Urumqi;87.33;43.68;87.80;44.04;POLYGON ((87.33 43.68, 87.80 43.68, 87.80 44.04, 87.33 44.04, 87.33 43.68));2018m10
Valencia;-0.49;39.42;-0.33;39.53;POLYGON ((-0.49 39.42, -0.33 39.42, -0.33 39.53, -0.49 39.53, -0.49 39.42));
Valparaiso;-71.70;-33.13;-71.48;-32.95;POLYGON ((-71.70 -33.13, -71.48 -33.13, -71.48 -32.95, -71.70 -32.95, -71.70 -33.13));2005m11
Wenzhou;120.49;27.92;120.86;28.11;POLYGON ((120.49 27.92, 120.86 27.92, 120.86 28.11, 120.49 28.11, 120.49 27.92));2019m1
Wuhan;113.88;30.28;114.81;30.88;POLYGON ((113.88 30.28, 114.81 30.28, 114.81 30.88, 113.88 30.88, 113.88 30.28));2004m7
Wuxi;120.17;31.45;120.48;31.69;POLYGON ((120.17 31.45, 120.48 31.45, 120.48 31.69, 120.17 31.69, 120.17 31.45));2014m7
Xiamen;117.92;24.42;118.29;24.69;POLYGON ((117.92 24.42, 118.29 24.42, 118.29 24.69, 117.92 24.69, 117.92 24.42));2017m12
Xian;108.02;34.01;109.67;34.75;POLYGON ((108.02 34.01, 109.67 34.01, 109.67 34.75, 108.02 34.75, 108.02 34.01));2011m9
Xuzhou;117.05;34.09;117.50;34.43;POLYGON ((117.05 34.09, 117.50 34.09, 117.50 34.43, 117.05 34.43, 117.05 34.09));2019m9
Zhengzhou;113.36;34.61;113.90;34.93;POLYGON ((113.36 34.61, 113.90 34.61, 113.90 34.93, 113.36 34.93, 113.36 34.61));2013m12